epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,2568.88,0.74665,0.42159,0.94677,0.93869,0.9424,0.95877,0.77859,0.71971,0.41923,0.91062,0.000323425,0.000323425,0.000323425
70,2591.96,0.76748,0.43399,0.95352,0.93164,0.95657,0.9577,0.7764,0.7122,0.41897,0.90545,0.000322049,0.000322049,0.000322049
71,2613.14,0.76873,0.4296,0.95576,0.95422,0.95292,0.96126,0.78052,0.7245,0.42725,0.91428,0.000320673,0.000320673,0.000320673
72,2638.99,0.76662,0.42318,0.95492,0.93321,0.95412,0.96171,0.78395,0.71696,0.41685,0.90631,0.000319297,0.000319297,0.000319297
73,2673.49,0.77587,0.43449,0.96123,0.93387,0.95556,0.95854,0.77708,0.7438,0.41295,0.91604,0.000317921,0.000317921,0.000317921
74,2708.5,0.76299,0.41648,0.94391,0.94843,0.95807,0.96197,0.7834,0.73305,0.42429,0.91891,0.000316545,0.000316545,0.000316545
75,2734.75,0.75553,0.41727,0.95015,0.94967,0.94707,0.95648,0.78085,0.72068,0.4279,0.91385,0.000315169,0.000315169,0.000315169
76,2762.8,0.74805,0.41702,0.9511,0.94714,0.95215,0.95851,0.76388,0.7574,0.42982,0.92212,0.000313792,0.000313792,0.000313792
77,2785.79,0.7531,0.41966,0.95279,0.95073,0.94063,0.96108,0.78305,0.71684,0.41401,0.91139,0.000312416,0.000312416,0.000312416
78,2811.62,0.76166,0.42455,0.95545,0.94465,0.93898,0.96088,0.77781,0.70394,0.41357,0.90237,0.00031104,0.00031104,0.00031104
79,2839.94,0.77005,0.42364,0.95539,0.93092,0.94678,0.96014,0.77709,0.71713,0.41942,0.90987,0.000309664,0.000309664,0.000309664
80,2926.66,0.75488,0.4235,0.94785,0.94161,0.94879,0.96092,0.79057,0.7152,0.42153,0.90906,0.000308288,0.000308288,0.000308288
81,2962.79,0.74341,0.4172,0.93872,0.9348,0.96044,0.95929,0.78592,0.71095,0.41075,0.90957,0.000306912,0.000306912,0.000306912
82,2985.31,0.76329,0.41318,0.95287,0.94161,0.95263,0.96536,0.7913,0.7323,0.41477,0.91484,0.000305536,0.000305536,0.000305536
83,3008.86,0.74884,0.41519,0.95482,0.94275,0.95606,0.95879,0.78819,0.72809,0.41503,0.91618,0.00030416,0.00030416,0.00030416
84,3031.22,0.73513,0.40901,0.94613,0.95779,0.95154,0.96304,0.7883,0.74402,0.41684,0.91813,0.000302784,0.000302784,0.000302784
85,3052.11,0.74279,0.41168,0.94197,0.95266,0.95534,0.96682,0.79353,0.71271,0.40382,0.90946,0.000301408,0.000301408,0.000301408
86,3079.48,0.74365,0.40418,0.94741,0.95523,0.95493,0.96791,0.79193,0.71482,0.4022,0.91074,0.000300032,0.000300032,0.000300032
87,3109.63,0.72941,0.39801,0.93189,0.94474,0.95301,0.96432,0.78601,0.71234,0.41308,0.90894,0.000298655,0.000298655,0.000298655
